run,chi2
0,18.1881
1,15.9647
2,16.2861
3,11.9645
4,7.11463
5,12.7438
6,22.6385
7,24.882
8,11.7529
9,16.1499
10,12.4233
11,5.70014
12,10.7358
13,10.0575
14,16.6287
15,20.3043
16,25.3015
17,7.39629
18,21.0536
19,14.9175
20,8.41188
21,5.94664
22,28.0261
23,19.5571
24,6.8054
25,13.2623
26,17.4649
27,15.5015
28,7.26613
29,11.95
30,12.6126
31,27.9967
32,12.4126
33,25.6868
34,18.1553
35,14.0215
36,14.0557
37,12.1493
38,11.4296
39,10.1765
40,32.5028
41,6.09873
42,18.8204
43,13.6135
44,14.6597
45,14.9209
46,17.1195
47,14.3963
48,18.8783
49,24.1542
50,21.0088
51,9.09235
52,19.3239
53,7.18661
54,26.0609
55,12.5213
56,13.5276
57,13.9164
58,20.5637
59,11.3024
60,17.2207
61,14.4919
62,11.6277
63,5.6779
64,14.1853
65,13.2532
66,10.4872
67,8.08973
68,15.2061
69,27.9314
70,25.4534
71,14.285
72,24.662
73,21.2247
74,22.406
75,13.5972
76,21.0944
77,21.4939
78,20.9575
79,14.6611
80,9.50285
81,12.6326
82,13.2487
83,9.73855
84,18.0898
85,23.3305
86,15.2898
87,30.1976
88,14.6521
89,15.1293
90,19.0029
91,14.5847
92,8.68753
93,15.5516
94,17.9383
95,21.0473
96,10.2915
97,15.587
98,11.8666
99,18.5763
100,11.4108
101,13.9777
102,15.7493
103,15.5983
104,18.9626
105,19.5117
106,12.6629
107,11.195
108,15.0691
109,19.2945
110,31.3066
111,6.9542
112,25.3475
113,15.8227
114,16.0192
115,12.2008
116,21.2689
117,6.19174
118,16.7125
119,9.08168
120,9.58319
121,15.5781
122,17.0689
123,9.21136
124,11.0179
125,11.2105
126,17.939
127,9.63272
128,11.8013
129,9.58091
130,17.2969
131,25.9493
132,14.4239
133,19.1686
134,11.6734
135,15.1544
136,13.0191
137,17.7092
138,13.0714
139,11.2481
140,13.9713
141,12.0148
142,18.071
143,17.8339
144,13.7881
145,11.7161
146,19.4461
147,19.5209
148,19.5774
149,19.0653
150,19.5579
151,6.5828
152,10.845
153,5.07768
154,20.8911
155,11.1822
156,10.5671
157,12.693
158,9.54648
159,23.1792
160,19.3187
161,19.2192
162,14.2527
163,15.7263
164,15.9884
165,18.2501
166,12.707
167,10.9126
168,20.0066
169,21.4117
170,13.7854
171,15.9505
172,19.1717
173,15.9337
174,17.8962
175,25.8321
176,11.714
177,14.2994
178,22.2374
179,3.75714
180,16.8548
181,26.4901
182,16.3019
183,9.02287
184,31.3365
185,15.1784
186,17.6578
187,16.4287
188,8.7173
189,14.4604
190,7.74041
191,14.2945
192,10.7509
193,7.9219
194,8.47152
195,13.178
196,13.4851
197,23.757
198,10.3483
199,20.1346
200,23.9246
201,13.6067
202,10.4614
203,21.0956
204,4.90642
205,27.9107
