t,true_x,meas_x,est_x
0,0,0.803159,0.924947
1,1.31537,2.19756,2.38557
2,2.85284,4.82708,3.91243
3,3.19273,3.31908,4.09304
4,4.65066,5.06939,5.22085
5,5.64121,7.32747,6.50426
6,5.96564,5.81154,6.64803
7,7.20757,8.13733,7.81452
8,7.87046,8.79422,8.51061
9,7.74587,8.55646,8.76445
10,8.97097,8.83683,9.34023
11,11.9715,11.2754,10.598
12,12.2285,10.9508,10.918
13,12.8026,11.1398,11.1836
14,12.5285,11.1823,11.7428
15,14.8119,13.5281,13.3395
16,14.9476,15.076,14.8921
17,16.6181,16.1219,16.2608
18,16.3683,17.9672,17.8081
19,19.7558,19.0768,19.1366
chi2,6.67526
