num_runs,nis_mean,nis_variance,log_mean_component,log_variance_component,cnis,dof
50,36.102,70.2096,0.00282916,-0.0251814,0.0280106,36
100,35.4741,63.6364,-0.0147167,-0.123481,0.138198,36
150,35.8793,59.6335,-0.00335762,-0.188448,0.191806,36
200,36.029,65.8994,0.00080601,-0.0885366,0.0893426,36
250,36.1668,69.8069,0.00462369,-0.030933,0.0355566,36
300,35.7962,68.1147,-0.00567782,-0.0554731,0.0611509,36
350,35.7769,70.9054,-0.00621752,-0.0153196,0.0215371,36
400,35.645,72.7252,-0.00990949,0.0100223,0.0199318,36
450,35.6829,73.7513,-0.00884737,0.0240319,0.0328793,36
500,35.6449,74.5803,-0.0099118,0.0352098,0.0451216,36
550,35.8292,75.0569,-0.00475648,0.0415802,0.0463367,36
600,35.9898,76.045,-0.00028308,0.0546587,0.0549418,36
650,35.971,75.2321,-0.000806599,0.0439124,0.044719,36
700,35.953,77.2223,-0.00130533,0.0700224,0.0713277,36
750,35.9248,77.3446,-0.00209099,0.0716042,0.0736952,36
800,36.0061,78.3763,0.000168486,0.0848556,0.0850241,36
850,36.0759,78.2224,0.00210591,0.0828905,0.0849965,36
900,36.097,77.7056,0.00269031,0.0762609,0.0789512,36
950,36.1614,76.1194,0.00447372,0.0556375,0.0601112,36
1000,36.172,76.1438,0.00476561,0.0559579,0.0607235,36
1050,36.1863,75.7849,0.00516259,0.0512325,0.0563951,36
1100,36.2411,76.8838,0.00667403,0.0656287,0.0723027,36
1150,36.2582,76.5907,0.00714614,0.0618094,0.0689555,36
1200,36.288,77.6971,0.00796683,0.0761523,0.0841191,36
1250,36.2984,78.1434,0.00825524,0.081879,0.0901342,36
1300,36.3077,78.3893,0.00851177,0.0850215,0.0935333,36
1350,36.2036,78.633,0.00564091,0.0881255,0.0937664,36
1400,36.1938,77.7774,0.00536786,0.0771852,0.082553,36
1450,36.1635,78.4827,0.00453023,0.0862122,0.0907424,36
1500,36.0916,77.9157,0.00254024,0.0789614,0.0815016,36
1550,36.0291,77.7338,0.000807315,0.0766242,0.0774315,36
1600,36.0336,77.8421,0.000932354,0.078016,0.0789484,36
1650,36.003,77.1447,8.22407e-05,0.0690165,0.0690988,36
1700,36.0129,77.0269,0.00035939,0.0674881,0.0678475,36
1750,36.0299,76.523,0.000829657,0.0609258,0.0617555,36
1800,35.983,75.9247,-0.000471902,0.0530758,0.0535477,36
1850,35.9622,75.9476,-0.00105172,0.0533777,0.0544294,36
1900,35.9858,75.603,-0.00039447,0.0488305,0.0492249,36
1950,35.9649,75.6301,-0.000974939,0.0491884,0.0501633,36
2000,35.9175,75.1254,-0.00229498,0.0424925,0.0447875,36
2050,35.9143,75.3764,-0.00238333,0.0458286,0.0482119,36
2100,35.9101,74.901,-0.0025015,0.0395015,0.042003,36
2150,35.9186,75.0115,-0.00226462,0.0409751,0.0432397,36
2200,35.9237,74.9262,-0.00212041,0.0398369,0.0419573,36
2250,35.9251,75.2682,-0.00208341,0.0443919,0.0464753,36
2300,35.9621,74.9122,-0.00105344,0.0396506,0.040704,36
2350,35.9551,74.9166,-0.00124742,0.0397088,0.0409562,36
2400,35.9348,74.6258,-0.00181303,0.0358207,0.0376338,36
2450,35.9527,74.382,-0.00131433,0.0325474,0.0338617,36
2500,35.9576,74.336,-0.00117755,0.0319295,0.033107,36
2550,35.9782,74.3034,-0.000606819,0.0314899,0.0320967,36
2600,35.9717,74.3886,-0.000785802,0.032637,0.0334229,36
2650,35.9833,74.8376,-0.000464616,0.0386545,0.0391191,36
2700,36.0065,74.6149,0.000179663,0.0356746,0.0358542,36
2750,36.045,74.5513,0.0012505,0.0348215,0.036072,36
2800,36.0553,74.9792,0.00153614,0.0405442,0.0420803,36
2850,36.0546,75.0189,0.00151688,0.041074,0.0425909,36
2900,36.0431,74.8468,0.00119532,0.038777,0.0399723,36
2950,36.0729,74.6017,0.00202227,0.0354965,0.0375188,36
3000,36.0608,74.4188,0.00168718,0.0330424,0.0347296,36
3050,36.0324,73.9856,0.000898734,0.0272049,0.0281036,36
3100,36.0088,73.591,0.000245649,0.0218562,0.0221018,36
3150,36.0232,73.3358,0.000642957,0.0183831,0.019026,36
3200,36.0277,72.9744,0.000768309,0.0134424,0.0142107,36
3250,36.0086,72.934,0.000238358,0.0128886,0.0131269,36
3300,36.0182,73.0097,0.000506331,0.0139258,0.0144321,36
3350,36.0139,73.0086,0.00038556,0.0139117,0.0142972,36
3400,35.9986,73.2837,-3.95832e-05,0.017672,0.0177116,36
3450,35.9735,73.2343,-0.000735411,0.0169979,0.0177333,36
3500,35.9792,73.3497,-0.000577776,0.0185725,0.0191503,36
3550,35.9602,73.1182,-0.00110653,0.0154105,0.016517,36
3600,35.9671,72.8193,-0.000913328,0.0113149,0.0122282,36
3650,35.9709,72.6974,-0.000808513,0.00963965,0.0104482,36
3700,35.9645,72.7511,-0.000985574,0.0103781,0.0113636,36
3750,35.9636,72.7155,-0.00101195,0.00988827,0.0109002,36
