num_runs,nis_mean,nis_variance,log_mean_component,log_variance_component,cnis,dof
100,591.508,1299.59,-0.00756559,0.0864198,0.0939854,596
200,594.89,1288.91,-0.00186389,0.0781635,0.0800274,596
300,594.747,1135.55,-0.00210483,-0.0485113,0.0506161,596
400,595.556,1139.54,-0.000744829,-0.0450104,0.0457552,596
500,596.322,1134.56,0.000540555,-0.0493885,0.049929,596
600,597.09,1145.54,0.00182716,-0.0397591,0.0415862,596
700,597.153,1137.14,0.00193343,-0.0471123,0.0490457,596
800,596.793,1137.9,0.00132963,-0.0464503,0.0477799,596
900,597.495,1178.47,0.002506,-0.0114171,0.0139231,596
1000,597.22,1201.64,0.00204438,0.00805104,0.0100954,596
1100,597.34,1176.65,0.00224575,-0.0129609,0.0152066,596
1200,597.375,1199.93,0.00230508,0.00663379,0.00893887,596
1300,597.214,1205.55,0.00203564,0.0113045,0.0133402,596
1400,597.026,1212.1,0.00172059,0.0167215,0.0184421,596
1500,597.006,1213.64,0.00168633,0.0179905,0.0196769,596
1600,597.037,1217.65,0.00173825,0.0212909,0.0230292,596
1700,597.339,1227.57,0.00224336,0.0294059,0.0316493,596
1800,597.243,1229.92,0.00208267,0.0313143,0.033397,596
1900,597.156,1222.04,0.0019378,0.0248857,0.0268235,596
2000,597.19,1218.96,0.00199393,0.0223672,0.0243611,596
2100,597.184,1213.18,0.00198442,0.0176128,0.0195972,596
2200,597.342,1211.62,0.00224837,0.0163238,0.0185722,596
2300,596.968,1210.63,0.00162315,0.0155044,0.0171275,596
2400,596.805,1208.86,0.00134956,0.0140451,0.0153946,596
2500,596.836,1196.79,0.00140242,0.00400969,0.0054121,596
2600,596.613,1184.92,0.00102865,-0.00595909,0.00698773,596
2700,596.65,1172.48,0.00108991,-0.0165105,0.0176005,596
2800,596.651,1167.18,0.00109185,-0.0210399,0.0221318,596
2900,596.478,1172.02,0.000801328,-0.0169071,0.0177084,596
3000,596.626,1179.04,0.00104914,-0.0109294,0.0119785,596
3100,596.743,1176.47,0.00124586,-0.0131166,0.0143625,596
3200,596.633,1179.1,0.0010616,-0.0108843,0.0119459,596
3300,596.546,1180.82,0.000915113,-0.0094252,0.0103403,596
3400,596.506,1179.28,0.000848203,-0.0107299,0.0115781,596
3500,596.602,1191.44,0.00100968,-0.000474053,0.00148373,596
3600,596.717,1185.57,0.00120309,-0.00541174,0.00661482,596
3700,596.75,1183.53,0.00125749,-0.00713321,0.0083907,596
3800,596.757,1181.63,0.0012691,-0.0087384,0.0100075,596
3900,596.749,1185.27,0.00125554,-0.00565838,0.00691392,596
4000,596.783,1179.45,0.0013137,-0.0105803,0.011894,596
4100,596.71,1182.43,0.0011914,-0.00805778,0.00924918,596
4200,596.562,1189.76,0.000942709,-0.00188021,0.00282292,596
4300,596.536,1197.88,0.000898639,0.00491682,0.00581546,596
4400,596.391,1191.51,0.000655432,-0.000407923,0.00106335,596
4500,596.383,1190.76,0.000643218,-0.00104107,0.00168429,596
4600,596.363,1190.01,0.000609161,-0.00166847,0.00227763,596
4700,596.439,1189.72,0.00073707,-0.0019143,0.00265137,596
4800,596.498,1186.45,0.000835843,-0.00466336,0.0054992,596
4900,596.376,1194.22,0.000630743,0.00186047,0.00249122,596
5000,596.351,1190.05,0.000588103,-0.00163868,0.00222678,596
5100,596.374,1189.95,0.000628098,-0.0017191,0.0023472,596
5200,596.45,1191.13,0.00075553,-0.000734082,0.00148961,596
5300,596.469,1192.75,0.000786531,0.000629335,0.00141587,596
5400,596.501,1190,0.000840722,-0.00167817,0.0025189,596
5500,596.436,1187.67,0.000731912,-0.00363843,0.00437034,596
5600,596.311,1184.19,0.000521914,-0.00657403,0.00709595,596
5700,596.271,1192.28,0.000454896,0.000232224,0.00068712,596
5800,596.265,1192.4,0.000445135,0.000333092,0.000778227,596
5900,596.213,1189.9,0.000356553,-0.00176019,0.00211675,596
6000,596.11,1185.16,0.000185336,-0.00575121,0.00593655,596
6100,596.138,1188.81,0.000231403,-0.00267835,0.00290976,596
6200,596.131,1190.37,0.000220559,-0.00137063,0.00159119,596
6300,596.193,1196.13,0.000323592,0.00346228,0.00378587,596
6400,596.194,1197.79,0.000325588,0.00484523,0.00517082,596
6500,596.157,1201.34,0.000262743,0.00780516,0.00806791,596
6600,596.136,1200.45,0.000228298,0.00706169,0.00728998,596
6700,596.154,1200.84,0.000258283,0.00739101,0.00764929,596
6800,596.132,1200.66,0.000221761,0.00724038,0.00746214,596
6900,596.113,1199.47,0.000188804,0.00624591,0.00643472,596
7000,596.123,1200.71,0.000205688,0.00728367,0.00748936,596
7100,596.214,1206.33,0.000359197,0.0119498,0.012309,596
7200,596.226,1205.45,0.000379931,0.0112199,0.0115998,596
7300,596.267,1204.42,0.000448598,0.0103646,0.0108132,596
7400,596.273,1202.97,0.00045874,0.00916244,0.00962118,596
7500,596.3,1204.99,0.000503997,0.0108387,0.0113427,596
7600,596.278,1202.79,0.000467032,0.00900788,0.00947491,596
7700,596.282,1203.06,0.000473129,0.00923477,0.0097079,596
7800,596.352,1206.85,0.000591,0.0123796,0.0129706,596
7900,596.403,1210.33,0.000676514,0.0152565,0.015933,596
8000,596.405,1212,0.000679615,0.0166383,0.017318,596
8100,596.355,1211.5,0.000596187,0.0162269,0.0168231,596
8200,596.387,1211.59,0.000648739,0.0163049,0.0169536,596
8300,596.315,1211.23,0.000527772,0.0160037,0.0165314,596
8400,596.313,1207.93,0.000525085,0.0132716,0.0137967,596
8500,596.255,1211.35,0.000427052,0.0161028,0.0165299,596
8600,596.245,1211.79,0.00041058,0.0164641,0.0168747,596
8700,596.259,1211.96,0.000435094,0.0166024,0.0170375,596
8800,596.194,1209.94,0.000325319,0.014942,0.0152673,596
8900,596.209,1208,0.000351165,0.013333,0.0136842,596
9000,596.235,1208.75,0.000394423,0.0139506,0.014345,596
9100,596.241,1212.58,0.000403925,0.0171142,0.0175181,596
9200,596.191,1210.4,0.000320749,0.0153214,0.0156422,596
9300,596.281,1211.01,0.000470807,0.0158248,0.0162956,596
9400,596.258,1210.71,0.000432091,0.0155748,0.0160069,596
9500,596.252,1208.65,0.00042331,0.0138688,0.0142921,596
9600,596.323,1206.47,0.000541306,0.0120697,0.012611,596
9700,596.365,1205.36,0.000612529,0.0111498,0.0117623,596
9800,596.388,1208.93,0.000651341,0.0141017,0.014753,596
9900,596.404,1207.39,0.000677195,0.0128264,0.0135036,596
10000,596.441,1205.42,0.000740374,0.0111947,0.0119351,596
10100,596.485,1206.96,0.000813747,0.0124732,0.0132869,596
10200,596.489,1208.34,0.000820232,0.0136114,0.0144317,596
10300,596.468,1206.9,0.000784527,0.0124198,0.0132043,596
10400,596.46,1205.33,0.000772213,0.0111173,0.0118895,596
10500,596.446,1207.14,0.000748346,0.0126219,0.0133702,596
10600,596.476,1209.04,0.000798268,0.0141967,0.014995,596
10700,596.437,1206.43,0.000732804,0.0120333,0.0127661,596
10800,596.422,1207.96,0.000707099,0.013303,0.0140101,596
10900,596.425,1205.26,0.000712978,0.0110639,0.0117769,596
11000,596.375,1204.12,0.000628328,0.0101154,0.0107438,596
11100,596.404,1203.13,0.000676898,0.00929229,0.00996919,596
11200,596.392,1202.67,0.000657242,0.00890875,0.009566,596
11300,596.348,1200.84,0.000584044,0.00738533,0.00796937,596
11400,596.284,1199.8,0.000476102,0.00652586,0.00700196,596
11500,596.262,1201.37,0.000439342,0.00783245,0.0082718,596
11600,596.273,1202,0.000457797,0.00835609,0.00881389,596
11700,596.303,1202.24,0.000507486,0.00855019,0.00905768,596
11800,596.245,1201.89,0.000410888,0.00826425,0.00867513,596
11900,596.206,1202.45,0.000344981,0.00872697,0.00907195,596
12000,596.196,1202.02,0.000329481,0.00836917,0.00869865,596
12100,596.178,1199.98,0.000297988,0.00667274,0.00697073,596
12200,596.158,1197.44,0.000264321,0.00455103,0.00481535,596
12300,596.135,1196.57,0.000226463,0.00382506,0.00405152,596
12400,596.17,1197.41,0.000284796,0.00452974,0.00481454,596
12500,596.123,1194.8,0.000206745,0.00234638,0.00255312,596
12600,596.126,1196.25,0.000211744,0.00356032,0.00377207,596
12700,596.15,1196.72,0.000251993,0.00394893,0.00420092,596
12800,596.161,1197.26,0.000269838,0.00440088,0.00467072,596
12900,596.175,1196.78,0.00029409,0.00400092,0.00429501,596
13000,596.146,1197.15,0.000244921,0.00430826,0.00455318,596
13100,596.159,1197.47,0.000266148,0.00458082,0.00484697,596
13200,596.146,1196.71,0.000244627,0.00394503,0.00418966,596
13300,596.168,1194.47,0.000282348,0.00207026,0.0023526,596
13400,596.193,1194.46,0.000323937,0.0020609,0.00238484,596
13500,596.202,1192.9,0.000338256,0.000757914,0.00109617,596
13600,596.186,1193.84,0.000311566,0.00154111,0.00185268,596
13700,596.19,1196.78,0.000318924,0.00400129,0.00432022,596
13800,596.185,1196.94,0.000310241,0.00413649,0.00444673,596
13900,596.196,1196.8,0.000329241,0.00402067,0.00434991,596
14000,596.209,1198.27,0.000350702,0.00524354,0.00559424,596
14100,596.22,1197.82,0.000369629,0.0048698,0.00523943,596
14200,596.16,1198.76,0.000268111,0.00565242,0.00592053,596
14300,596.199,1197.95,0.000333197,0.0049823,0.0053155,596
14400,596.195,1200.53,0.000327307,0.00713377,0.00746108,596
14500,596.241,1202.27,0.000404887,0.00857472,0.0089796,596
