Q,R,C
0.433186,0.457018,5.66488
0.0600432,0.0544673,1e+06
0.978372,0.750572,7.50235
0.509328,0.304612,5.11211
0.648063,0.549824,6.45199
0.255229,0.238816,3.8425
0.756087,0.337997,5.84272
0.345537,0.153319,3.48262
0.366915,0.0786183,1e+06
0.20658,0.766622,6.30905
0.573355,0.734516,6.90302
0.723377,0.585364,6.69397
0.303595,0.482818,5.46007
0.954585,0.261796,5.90478
0.181966,0.826569,6.44068
0.0991834,0.517293,1e+06
0.224662,0.702312,6.1351
0.456434,0.0841094,1e+06
0.810805,0.656239,7.03662
0.270373,0.425981,5.09185
0.463782,0.560515,6.14551
0.922984,0.100654,5.00451
0.662072,0.0200901,1e+06
0.63672,0.410031,5.90604
0.886149,0.900114,7.73681
0.178608,0.252586,3.61364
0.780914,0.131768,4.8208
0.156281,0.349149,4.24005
0.290294,0.383016,4.92317
0.523601,0.896621,7.25902
0.843963,0.62966,7.00876
0.830394,0.797718,7.43264
0.326795,0.691156,6.32539
0.400652,0.840326,6.91736
0.583151,0.668268,6.72344
0.107966,0.363724,4.12132
0.137952,0.992326,6.81032
0.916319,0.947341,7.87218
0.0327648,0.280623,1e+06
0.770671,0.205388,5.23024
0.541324,0.605733,6.45175
0.0539524,0.174606,1e+06
0.492296,0.533739,6.1032
0.863101,0.973283,7.86695
0.607952,0.185394,4.67623
0.68991,0.937735,7.58311
0.985814,0.815967,7.66439
0.00638105,0.873086,1e+06
0.716409,0.00276159,1e+06
0.3903,0.464453,5.59607
0.338906,0.184057,3.73329
0.215103,0.267383,3.89893
0.237584,0.825271,6.56345
0.326374,0.164779,3.50568
0.818267,0.153997,5.05672
0.142123,0.374526,4.34659
0.359884,0.169881,3.69638
0.640847,0.214863,4.95228
0.320477,0.443372,5.32053
0.190953,0.99998,6.95185
0.76451,0.158371,4.94285
0.345908,0.491793,5.60801
0.343539,0.162683,3.56174
0.390932,0.212846,4.16573
0.285024,0.411917,5.0624
0.330732,0.155959,3.44142
0.45502,0.842074,7.01238
0.601877,0.205247,4.78578
0.966039,0.119233,5.22143
0.318798,0.470659,5.44441
0.254744,0.711932,6.23888
0.703974,0.196861,5.01356
0.775593,0.238985,5.41946
0.345599,0.15733,3.52086
0.339171,0.154791,3.46824
0.97109,0.300422,6.09871
0.634715,0.193062,4.80238
0.71813,0.226173,5.21537
0.4004,0.684933,6.45189
0.966031,0.276453,5.98979
0.893305,0.313858,6.0091
0.746097,0.385967,6.02395
0.325979,0.159406,3.45299
0.328928,0.158071,3.45354
0.32838,0.157578,3.44633
0.328197,0.15766,3.4463
0.328235,0.157722,3.44706
0.328879,0.157231,3.44526
1,1,8.06863
0.976855,0.340548,6.26717
0.328477,0.157723,3.44817
1,0.620043,7.19628
0.618774,0.714148,6.91582
0.328168,0.157764,3.44716
0.328121,0.157843,3.44771
0.874922,0.680554,7.19219
0.328802,0.157379,3.44634
1,0.687383,7.37275
0.328143,0.15781,3.44749
0.328457,0.157627,3.44715
0.251324,0.258022,3.97746
0.216898,0.356836,4.52607
0.528867,0.559033,6.26741
0.207461,0.249237,3.71976
0.251023,0.268016,4.05187
0.355988,0.48224,5.59098
0.385901,0.452092,5.52994
0.371884,0.187076,3.89169
0.35273,0.183197,3.78268
0.318296,0.429889,5.24887
0.321991,0.391089,5.06112
0.546461,0.527261,6.18584
0.516181,0.539857,6.17341
0.575393,0.313024,5.324
0.340066,0.169433,3.60855
0.311133,0.23014,3.99969
0.362428,0.198254,3.9461
0.394969,0.161203,3.76395
0.28427,0.390749,4.9471
0.366995,0.156107,3.60226
0.436033,0.209239,4.29699
0.490123,0.570596,6.2343
0.592123,0.900253,7.36568
0.355191,0.190155,3.8513
0.471296,0.184719,4.23758
0.401449,0.200084,4.1069
0.417068,0.169549,3.9217
0.732835,0.550038,6.59597
0.578022,0.62198,6.56968
0.395566,0.16553,3.8038
0.510412,0.522784,6.09824
0.490007,0.559083,6.19247
0.513093,0.530987,6.13442
0.333267,0.163982,3.52878
0.716752,0.518862,6.46479
0.591289,0.561731,6.39226
0.6072,0.52204,6.28149
0.689383,0.405397,5.99236
0.795075,0.592224,6.82684
0.71104,0.954092,7.6463
0.501597,0.536965,6.1339
0.820475,0.349211,6.01672
0.797991,0.530468,6.63775
0.533519,0.309093,5.19898
0.629797,0.300021,5.38899
0.647645,0.399721,5.88531
0.545395,0.613539,6.48499
0.568125,0.551684,6.31494
0.329297,0.1617,3.48973
0.612905,0.610557,6.59246
0.841809,0.259259,5.66463
0.649952,0.228182,5.05402
0.595102,0.727546,6.91726
0.814815,0.375784,6.11316
0.682141,0.551836,6.51735
0.32713,0.160541,3.46901
0.879136,0.787045,7.46822
0.552426,0.904188,7.3194
0.547245,0.89469,7.28861
0.657134,0.909099,7.47469
