run,t,x_meas,y_meas
0,0,-0.274972,0.14887
0,1,0.208559,1.0374
0,2,1.68335,2.39058
0,3,3.92654,2.96588
0,4,4.14014,3.40496
0,5,4.43583,4.84228
0,6,6.41939,6.23882
0,7,6.67442,7.51537
0,8,7.70135,8.51716
0,9,9.13193,8.35002
0,10,9.6686,9.39556
0,11,11.067,11.2815
0,12,12.1019,12.4545
0,13,13.0302,13.2333
0,14,13.1299,13.382
0,15,14.5626,14.1897
0,16,17.0907,15.9863
0,17,16.5412,17.0028
0,18,18.1672,18.1352
0,19,17.4182,19.9033
1,0,-0.223341,-0.213848
1,1,0.969672,0.88285
1,2,2.02102,1.83942
1,3,3.613,2.64717
1,4,3.26782,5.09227
1,5,5.03604,6.25477
1,6,5.59231,5.40926
1,7,7.66136,6.89074
1,8,7.85381,8.65235
1,9,8.87932,9.62191
1,10,9.28875,10.6404
1,11,11.4342,10.5214
1,12,11.93,12.1145
1,13,13.3716,13.2021
1,14,13.756,13.8224
1,15,14.4994,15.1216
1,16,15.7106,16.039
1,17,16.2578,18.1204
1,18,17.5389,18.6505
1,19,19.0465,19.3008
2,0,-0.0345331,-0.590377
2,1,1.13162,0.698788
2,2,1.43237,2.31304
2,3,2.95534,3.47382
2,4,3.80061,3.4552
2,5,4.9756,4.37929
2,6,6.13528,5.76912
2,7,7.71558,7.24995
2,8,7.67815,8.95718
2,9,8.51925,8.94703
2,10,10.6007,10.1859
2,11,11.0227,10.4795
2,12,11.1155,12.276
2,13,12.4775,12.3667
2,14,14.8499,13.901
2,15,14.6568,14.6658
2,16,16.49,16.0057
2,17,16.6868,17.7795
2,18,19.01,18.5356
2,19,19.2743,18.9981
3,0,-0.602081,0.274192
3,1,1.28175,0.808495
3,2,1.97145,3.21849
3,3,3.49142,2.85985
3,4,4.77023,4.33039
3,5,5.79018,4.87067
3,6,5.69645,6.75225
3,7,7.2029,7.44793
3,8,7.96419,7.80572
3,9,8.89455,8.12072
3,10,9.65159,10.7308
3,11,10.9271,10.9433
3,12,12.6105,12.2785
3,13,13.3078,13.696
3,14,14.1161,14.1162
3,15,14.7544,14.636
3,16,15.9678,16.2637
