t,true_x,true_y,meas_x,meas_y,est_x,est_y
0,0,0,-0.299184,0.469098,-0.416962,0.457504
1,0.971495,1.39847,0.382794,1.38739,0.549649,1.26447
2,1.50437,1.97834,1.58866,1.7655,1.75001,1.98
3,3.36949,2.89563,3.42797,3.07331,3.13929,2.99169
4,3.88182,4.02659,4.25059,3.79046,4.17511,3.99064
5,4.90453,5.62248,4.75588,5.50691,5.09683,5.20966
6,6.38312,6.22589,6.69616,5.9454,6.37268,6.07718
7,6.79115,6.99159,6.92557,7.07371,7.30327,7.02658
8,8.53605,7.75868,8.93026,8.10576,8.57636,7.88379
9,9.25514,8.5507,9.47904,8.21107,9.39286,8.51676
10,9.94044,10.2096,9.80971,9.69593,10.065,9.55267
11,11.1369,10.4698,10.9224,10.1657,11.0363,10.5656
12,12.2507,12.2282,12.5007,12.4528,12.1441,12.0621
13,12.4273,13.2417,12.6401,13.077,12.8622,13.125
14,14.1185,13.9567,13.9537,14.2667,13.8187,14.1672
15,14.0648,15.1649,14.4645,14.815,14.6906,15.081
16,16.0689,16.0991,15.7475,16.5346,15.8559,16.2615
17,16.9497,17.1311,17.5615,16.9058,17.1136,17.1429
18,17.423,18.4245,17.62,18.4416,17.8138,18.245
19,19.247,19.137,18.639,19.0353,18.6577,19.1178
chi2,23.3457
