run,t,true_x,true_y,meas_x,meas_y,est_x,est_y
0,0,0,0,-0.274972,0.14887,-0.427542,0.151949
0,1,0.826016,1.16298,0.208559,1.0374,0.494767,1.12389
0,2,1.7101,1.96074,1.68335,2.39058,1.85585,2.17923
0,3,3.12413,2.70619,3.92654,2.96588,3.40838,2.93058
0,4,4.00703,3.86473,4.14014,3.40496,4.15554,3.67577
0,5,5.07022,4.75717,4.43583,4.84228,4.8429,4.87801
0,6,6.35868,5.96688,6.41939,6.23882,6.05875,6.18847
0,7,6.35915,7.35396,6.67442,7.51537,6.82494,7.37166
0,8,8.35738,8.11798,7.70135,8.51716,7.80283,8.23509
0,9,9.179,8.77725,9.13193,8.35002,8.94308,8.68502
0,10,9.85408,10.0211,9.6686,9.39556,9.85352,9.66519
0,11,11.2208,10.9457,11.067,11.2815,10.995,11.1019
0,12,12.2484,12.8398,12.1019,12.4545,12.0127,12.2681
0,13,13.1457,13.0272,13.0302,13.2333,12.8635,13.0585
0,14,13.7333,13.8377,13.1299,13.382,13.5335,13.5726
0,15,14.5058,14.7484,14.5626,14.1897,14.8227,14.4388
0,16,16.2208,16.0549,17.0907,15.9863,16.4143,15.7878
0,17,16.9468,17.3683,16.5412,17.0028,16.9381,16.9949
0,18,18.3833,18.39,18.1672,18.1352,17.7099,18.2726
0,19,18.3536,19.3382,17.4182,19.9033,17.7213,19.7954
1,0,0,0,-0.223341,-0.213848,-0.187924,-0.232458
1,1,0.69644,0.997601,0.969672,0.88285,0.966855,0.837333
1,2,2.03857,1.84353,2.02102,1.83942,2.0834,1.88022
1,3,3.19179,2.98655,3.613,2.64717,3.1943,3.04664
1,4,3.61973,4.09288,3.26782,5.09227,3.72351,4.71859
1,5,4.57221,5.536,5.03604,6.25477,4.86914,5.74678
1,6,5.65536,5.932,5.59231,5.40926,5.87662,5.99447
1,7,6.80939,7.33932,7.66136,6.89074,7.2321,7.06036
1,8,7.88334,8.11231,7.85381,8.65235,7.9726,8.4492
1,9,8.97031,8.61984,8.87932,9.62191,8.82607,9.53892
1,10,10.0908,9.89109,9.28875,10.6404,9.68152,10.4036
1,11,11.2755,10.4954,11.4342,10.5214,11.0993,10.9261
1,12,11.8056,12.0282,11.93,12.1145,12.0733,12.0218
1,13,13.456,13.026,13.3716,13.2021,13.1383,13.0622
1,14,13.9133,14.0382,13.756,13.8224,13.8308,13.9618
1,15,15.2768,15.0551,14.4994,15.1216,14.6051,15.1012
1,16,15.836,15.4928,15.7106,16.039,15.5638,16.2831
1,17,16.9008,17.1919,16.2578,18.1204,16.4203,17.7543
1,18,17.9461,18.0961,17.5389,18.6505,17.5968,18.6431
1,19,18.4327,19.0747,19.0465,19.3008,18.9388,19.4127
2,0,0,0,-0.0345331,-0.590377,-0.00745206,-0.536925
2,1,0.85269,0.978777,1.13162,0.698788,0.94828,0.791181
2,2,1.67284,1.72589,1.43237,2.31304,1.69359,2.15823
