t,true_x,true_y,meas_x,meas_y,est_x,est_y
0,0,0,0.276666,-0.181762,0.467661,0.0560514
1,1.03662,0.794321,2.27665,1.46341,1.86067,0.847123
2,2.46599,1.60673,3.5046,0.641153,3.19298,1.55278
3,4.37681,3.00749,2.88803,3.20112,4.49753,2.36367
4,5.95939,3.50546,6.90017,2.53541,6.02009,3.05157
5,7.55367,4.0118,7.88747,4.56313,7.40441,3.78226
6,9.3123,4.44531,8.80248,4.65071,8.67091,4.40485
7,10.448,4.87936,8.88521,4.47147,9.88376,5.02975
8,11.6255,5.70368,12.0782,5.80356,11.1982,5.81885
9,12.512,6.60705,12.3584,6.09393,12.3686,6.74351
10,13.3639,7.7579,13.3778,7.81981,13.5144,7.89129
11,14.6177,9.0506,14.7658,9.84162,14.6775,9.16354
12,15.6944,10.5631,15.6928,9.97595,15.851,10.4373
13,17.3001,11.6649,16.9241,12.1487,17.0842,11.8465
14,18.6867,13.0878,18.2642,12.8333,18.3859,13.2882
15,20.252,14.4919,19.3218,15.5543,19.7449,14.8423
16,21.4477,16.0317,21.6732,16.3909,21.1718,16.3503
17,22.4897,17.6889,22.972,17.9557,22.5124,17.9091
18,23.1946,19.6113,23.5523,17.9002,23.7591,19.5518
19,24.0812,21.8826,24.877,22.7547,25.0129,21.4864
chi2,36.3605
