run,chi2
0,44.3382
1,35.0165
2,25.0026
3,25.5483
4,47.4311
5,34.692
6,48.2315
7,43.6358
8,22.9907
9,27.2953
10,19.0689
11,25.0345
12,36.0935
13,25.3723
14,31.2843
15,39.4365
16,23.788
17,22.0815
18,46.7262
19,19.1311
20,45.8004
21,38.431
22,49.255
23,37.4784
24,25.1237
25,30.1354
26,31.4989
27,32.5696
28,38.9779
29,41.4088
30,46.4643
31,33.2643
32,37.4137
33,44.6821
34,35.4387
35,30.1085
36,19.9736
37,40.3381
38,39.3574
39,30.7818
40,25.7609
41,36.6005
42,30.4991
43,29.3456
44,54.354
45,35.458
46,34.8444
47,27.953
48,33.2764
49,30.9944
50,19.9973
51,32.5588
52,29.1751
53,36.9538
54,33.8718
55,37.5692
56,26.2734
57,46.0185
58,36.1965
59,26.3311
60,31.8321
61,36.1197
62,35.0976
63,26.8864
64,46.3526
65,37.5792
66,24.4335
67,41.768
68,31.951
69,28.7277
70,42.4257
71,38.833
72,17.5768
73,36.4403
74,30.6517
75,35.8697
76,18.9742
77,29.185
78,29.4018
79,45.1313
80,54.2516
81,33.4815
82,22.9515
83,26.7181
84,30.4917
85,45.3588
86,18.7643
87,41.5304
88,38.3269
89,25.5311
90,21.6367
91,30.2785
92,21.5048
93,33.4213
94,20.733
95,16.3936
96,27.4341
97,24.2063
98,20.1355
99,45.2361
100,22.8197
101,27.5698
102,28.8321
103,49.5569
104,19.6447
105,37.1745
106,31.8274
107,28.6718
108,41.1867
109,38.1665
110,34.3527
111,36.7976
112,49.347
113,45.5873
114,28.2085
115,39.5155
116,28.456
117,26.1687
118,38.443
119,40.1423
120,23.7269
121,29.2031
122,42.3428
123,22.377
124,32.5255
125,17.5251
126,17.6277
127,32.005
128,16.6117
129,32.3534
130,23.7846
131,40.3154
132,17.2813
133,41.9766
134,32.0997
135,35.1054
136,23.3433
137,39.3369
138,16.9955
139,32.6448
140,29.0755
141,34.7863
142,37.985
143,34.5645
144,31.8663
145,37.3181
146,38.5548
